codeReg;codeDep;popMenEP;popMen024;popMen2559;popMen60P;popMen75P;popAppart;partPopAppart;popMaison;partPopMaison;popCmt;pop60PHebPerm
FRA;FRA;64887549;19592068;29333924;15961557;5556814;23961255;36,9;40532053;62,5;1336755;589082
MET;MET;63014969;18913255;28478983;15622731;5454798;23439149;37,2;39205020;62,2;1318293;584723
DOM;DOM;1872580;678813;854941;338826;102015;522106;27,9;1327033;70,9;18462;4359
84;01;624611;193830;292339;138441;44524;177093;28,4;444749;71,2;12763;5670
32;02;525610;160289;232965;132356;44491;97814;18,6;425804;81;9870;6310
84;03;329033;82532;138370;108131;40730;63780;19,4;263918;80,2;9144;4676
93;04;158720;40687;67916;50117;17814;42599;26,8;115349;72,7;3539;2536
93;05;136944;36097;60920;39927;14058;55023;40,2;81324;59,4;3959;1540
93;06;1057746;280290;466847;310610;123099;729717;69;321884;30,4;23869;12671
84;07;316418;84963;137993;93461;31808;66420;21;248388;78,5;8271;5935
44;08;270086;77469;120869;71748;24790;59451;22;209530;77,6;4922;2246
76;09;148792;37325;64230;47237;17545;20973;14,1;126981;85,3;3766;1580
44;10;301288;90219;131264;79805;27707;80342;26,7;219132;72,7;6925;3477
76;11;359757;94390;151947;113420;40330;71212;19,8;286744;79,7;7478;4507
76;12;270037;67573;114824;87640;33465;58504;21,7;210540;78;8292;5008
93;13;1966948;590935;883575;492438;176314;1100545;56;854757;43,5;48188;18423
28;14;675949;204577;293636;177736;61032;171116;25,3;501329;74,2;16384;6421
84;15;141060;32748;60953;47359;17516;27119;19,2;113614;80,5;4532;2927
75;16;343951;88803;149799;105349;38124;42945;12,5;298795;86,9;8424;4382
75;17;626839;159225;260681;206934;73293;98736;15,8;524866;83,7;14130;9291
24;18;298833;78036;128467;92330;33316;44574;14,9;253105;84,7;7535;4084
75;19;232851;57308;98439;77104;29659;39947;17,2;192194;82,5;8335;3778
27;21;517606;155668;230226;131712;45653;196922;38;318406;61,5;14294;5301
53;22;583975;158260;244162;181553;65403;67363;11,5;514623;88,1;14114;6958
75;23;115571;25670;47834;42068;16212;13525;11,7;101542;87,9;3659;2566
75;24;402568;94808;167882;139878;51780;46353;11,5;354251;88;10957;5509
27;25;526709;163593;235342;127774;45156;204511;38,8;319906;60,7;11440;3822
84;26;498188;145903;219019;133266;45938;142479;28,6;353274;70,9;9073;4300
28;27;590341;182359;267390;140592;44974;99795;16,9;487912;82,6;11092;4639
24;28;424753;127773;190543;106437;36798;89358;21;333974;78,6;8381;5132
53;29;883807;249228;387044;247535;87859;170825;19,3;710023;80,3;21399;11783
