"Libellé";"Consommation mensuelle des ménages en biens - Biens - Volumes aux prix de l'année précédente, chaînés depuis 2014 - Série CVS-CJO";"Codes"
"idBank";"010565753";""
"Période";"";""
"2020-04";"31.246";"A"
"2020-03";"39.18";"A"
"2020-02";"47.156";"A"
"2020-01";"47.368";"A"
"2019-12";"47.911";"A"
"2019-11";"48.042";"A"
"2019-10";"47.679";"A"
"2019-09";"47.625";"A"
"2019-08";"47.777";"A"
"2019-07";"47.71";"A"
"2019-06";"47.5";"A"
"2019-05";"47.523";"A"
"2019-04";"47.405";"A"
"2019-03";"47.207";"A"
"2019-02";"47.546";"A"
"2019-01";"47.699";"A"
