date,hosp,rea,rad,dc,total_cases,total_deaths,stringency_index,positive_tests,total_tests,positive_tests_old,total_tests_old
2019-12-31,,,,,0,0,,,,,
2020-01-01,,,,,0,0,0.0,,,,
2020-01-02,,,,,0,0,0.0,,,,
2020-01-03,,,,,0,0,0.0,,,,
2020-01-04,,,,,0,0,0.0,,,,
2020-01-05,,,,,0,0,0.0,,,,
2020-01-06,,,,,0,0,0.0,,,,
2020-01-07,,,,,0,0,0.0,,,,
2020-01-08,,,,,0,0,0.0,,,,
2020-01-09,,,,,0,0,0.0,,,,
2020-01-10,,,,,0,0,0.0,,,,
2020-01-11,,,,,0,0,0.0,,,,
2020-01-12,,,,,0,0,0.0,,,,
2020-01-13,,,,,0,0,0.0,,,,
2020-01-14,,,,,0,0,0.0,,,,
2020-01-15,,,,,0,0,0.0,,,,
2020-01-16,,,,,0,0,0.0,,,,
2020-01-17,,,,,0,0,0.0,,,,
2020-01-18,,,,,0,0,0.0,,,,
2020-01-19,,,,,0,0,0.0,,,,
2020-01-20,,,,,0,0,0.0,,,,
2020-01-21,,,,,0,0,0.0,,,,
2020-01-22,,,,,0,0,0.0,,,,
2020-01-23,,,,,0,0,2.78,,,,
2020-01-24,,,,,0,0,11.11,,,,
2020-01-25,,,,,3,0,11.11,,,,
2020-01-26,,,,,3,0,11.11,,,,
2020-01-27,,,,,3,0,11.11,,,,
2020-01-28,,,,,3,0,11.11,,,,
2020-01-29,,,,,4,0,11.11,,,,
2020-01-30,,,,,5,0,11.11,,,,
2020-01-31,,,,,6,0,13.89,,,,
2020-02-01,,,,,6,0,13.89,,,,
2020-02-02,,,,,6,0,13.89,,,,
2020-02-03,,,,,6,0,13.89,,,,
2020-02-04,,,,,6,0,13.89,,,,
2020-02-05,,,,,6,0,13.89,,,,
2020-02-06,,,,,6,0,13.89,,,,
2020-02-07,,,,,6,0,13.89,,,,
2020-02-08,,,,,11,0,13.89,,,,
2020-02-09,,,,,11,0,13.89,,,,
2020-02-10,,,,,11,0,13.89,,,,
2020-02-11,,,,,11,0,13.89,,,,
2020-02-12,,,,,11,0,13.89,,,,
2020-02-13,,,,,11,0,13.89,,,,
2020-02-14,,,,,11,0,13.89,,,,
2020-02-15,,,,,11,1,13.89,,,,
2020-02-16,,,,,11,1,13.89,,,,
2020-02-17,,,,,12,1,13.89,,,,
2020-02-18,,,,,12,1,13.89,,,,
2020-02-19,,,,,12,1,13.89,,,,
2020-02-20,,,,,12,1,13.89,,,,
2020-02-21,,,,,12,1,13.89,,,,
2020-02-22,,,,,12,1,13.89,,,,
2020-02-23,,,,,12,1,13.89,,,,
2020-02-24,,,,,12,1,13.89,,,,
2020-02-25,,,,,12,1,16.67,,,,
2020-02-26,,,,,14,1,16.67,,,,
2020-02-27,,,,,17,2,16.67,,,,
2020-02-28,,,,,38,2,16.67,,,,
2020-02-29,,,,,57,2,19.44,,,,
2020-03-01,,,,,100,2,19.44,,,,
2020-03-02,,,,,130,2,28.7,,,,
2020-03-03,,,,,178,3,28.7,,,,
2020-03-04,,,,,212,4,28.7,,,,
2020-03-05,,,,,285,4,28.7,,,,
2020-03-06,,,,,423,7,28.7,,,,
2020-03-07,,,,,613,9,28.7,,,,
2020-03-08,,,,,716,10,28.7,,,,
2020-03-09,,,,,1126,19,28.7,,,,
2020-03-10,,,,,1412,30,28.7,,,8.0,79.0
2020-03-11,,,,,1784,33,28.7,,,16.0,108.0
2020-03-12,,,,,2281,48,28.7,,,33.0,157.0
2020-03-13,,,,,2876,61,42.59,,,61.0,350.0
2020-03-14,,,,,3661,79,48.15,,,54.0,167.0
2020-03-15,,,,,4499,91,48.15,,,49.0,174.0
2020-03-16,,,,,5423,127,55.56,,,198.0,819.0
2020-03-17,,,,,6633,148,90.74,,,223.0,1011.0
2020-03-18,2933.0,764.0,811.0,217.0,7730,175,90.74,,,394.0,1571.0
2020-03-19,3888.0,973.0,1142.0,315.0,9134,244,90.74,,,528.0,2098.0
2020-03-20,5046.0,1267.0,1541.0,440.0,10995,372,90.74,,,705.0,2454.0
2020-03-21,5699.0,1419.0,1769.0,516.0,12612,450,90.74,,,264.0,783.0
2020-03-22,6721.0,1637.0,2071.0,619.0,14459,562,90.74,,,250.0,555.0
2020-03-23,8414.0,2034.0,2517.0,847.0,16018,674,90.74,,,1285.0,4369.0
2020-03-24,10005.0,2480.0,3233.0,1086.0,19856,860,90.74,,,1385.0,4960.0
2020-03-25,11920.0,2912.0,4028.0,1375.0,22302,1100,90.74,,,1363.0,5161.0
2020-03-26,13722.0,3325.0,4880.0,1683.0,25233,1331,90.74,,,1573.0,5716.0
2020-03-27,15536.0,3726.0,5626.0,1984.0,29155,1696,90.74,,,1588.0,6533.0
2020-03-28,17395.0,4202.0,6540.0,2301.0,32964,1995,90.74,,,523.0,1894.0
2020-03-29,19113.0,4559.0,7044.0,2593.0,37575,2314,90.74,,,228.0,604.0
2020-03-30,20736.0,5024.0,7825.0,3009.0,40174,2606,90.74,,,1918.0,8169.0
2020-03-31,22443.0,5460.0,9333.0,3504.0,44550,3024,90.74,,,1792.0,8051.0
2020-04-01,24306.0,5901.0,10807.0,4009.0,52128,3523,90.74,,,1467.0,7319.0
2020-04-02,25868.0,6256.0,12288.0,4477.0,56989,4032,90.74,,,1579.0,7375.0
2020-04-03,27026.0,6500.0,13858.0,5059.0,59105,4503,90.74,,,1668.0,8237.0
2020-04-04,27713.0,6663.0,15277.0,5495.0,64338,6507,90.74,,,345.0,1675.0
2020-04-05,28428.0,6795.0,16022.0,5850.0,68605,7560,90.74,,,120.0,377.0
2020-04-06,29244.0,6884.0,17086.0,6445.0,70478,8078,90.74,,,1502.0,7611.0
2020-04-07,29559.0,6939.0,19149.0,7036.0,74390,8911,90.74,,,1429.0,7790.0
2020-04-08,29904.0,6954.0,21053.0,7571.0,78167,10328,90.74,,,1691.0,10059.0
2020-04-09,30289.0,6874.0,22992.0,7981.0,82048,10869,90.74,,,1589.0,10603.0
2020-04-10,30803.0,6810.0,24705.0,8527.0,86334,12210,90.74,,,1932.0,11527.0
2020-04-11,30850.0,6685.0,26149.0,8871.0,90676,13197,90.74,,,242.0,1636.0
2020-04-12,31344.0,6646.0,26932.0,9180.0,93790,13832,90.74,,,71.0,389.0
2020-04-13,31620.0,6624.0,27460.0,9511.0,95403,14393,90.74,,,206.0,1156.0
2020-04-14,31811.0,6535.0,28536.0,10045.0,98076,14967,90.74,,,1423.0,11890.0
2020-04-15,31323.0,6266.0,30667.0,10558.0,103573,15729,90.74,,,1211.0,12608.0
2020-04-16,30873.0,6074.0,32517.0,10962.0,106206,17167,90.74,,,1082.0,11959.0
2020-04-17,30765.0,5859.0,34105.0,11373.0,108847,17920,90.74,,,959.0,11470.0
2020-04-18,30226.0,5672.0,35652.0,11739.0,109252,18681,90.74,,,186.0,2361.0
2020-04-19,30200.0,5585.0,36238.0,11964.0,111821,19323,90.74,,,32.0,502.0
2020-04-20,30163.0,5523.0,37062.0,12405.0,112606,19718,90.74,,,660.0,9224.0
2020-04-21,29689.0,5278.0,38824.0,12790.0,114657,20265,90.74,,,697.0,11557.0
2020-04-22,29336.0,5072.0,40287.0,13121.0,117324,20796,90.74,,,602.0,11047.0
2020-04-23,28840.0,4921.0,41701.0,13426.0,119151,21340,90.74,,,585.0,9872.0
2020-04-24,28290.0,4740.0,43092.0,13732.0,120804,21856,90.74,,,471.0,9077.0
2020-04-25,27857.0,4597.0,44186.0,13931.0,122577,22245,90.74,,,66.0,1397.0
2020-04-26,27848.0,4556.0,44490.0,14083.0,124114,22614,90.74,,,13.0,306.0
2020-04-27,27686.0,4486.0,45094.0,14378.0,124575,22856,90.74,,,291.0,7431.0
2020-04-28,27344.0,4356.0,45906.0,14567.0,125770,23293,90.74,,,336.0,8104.0
2020-04-29,26656.0,4115.0,48000.0,14995.0,126835,23660,90.74,,,363.0,9850.0
2020-04-30,26119.0,3936.0,49241.0,15183.0,128442,24087,90.74,,,265.0,8793.0
2020-05-01,25724.0,3808.0,49975.0,15301.0,129581,24376,90.74,,,4.0,232.0
2020-05-02,25668.0,3760.0,50322.0,15419.0,130185,24594,90.74,,,49.0,1369.0
2020-05-03,25656.0,3752.0,50541.0,15517.0,130979,24760,90.74,,,11.0,197.0
2020-05-04,25387.0,3628.0,51126.0,15759.0,131287,24895,90.74,,,302.0,10093.0
2020-05-05,24616.0,3366.0,52488.0,15993.0,131863,25201,90.74,,,278.0,10772.0
2020-05-06,23825.0,3088.0,53714.0,16169.0,132967,25531,90.74,,,206.0,9391.0
2020-05-07,23045.0,2906.0,54766.0,16316.0,137150,25809,90.74,,,166.0,8596.0
2020-05-08,22563.0,2813.0,55515.0,16426.0,137779,25987,90.74,,,15.0,448.0
2020-05-09,22454.0,2757.0,55770.0,16502.0,138421,26230,90.74,,,33.0,1529.0
2020-05-10,22404.0,2722.0,55978.0,16569.0,138854,26310,90.74,,,17.0,293.0
2020-05-11,22124.0,2661.0,56477.0,16747.0,139063,26380,76.85,,,210.0,10365.0
2020-05-12,21441.0,2492.0,57532.0,16927.0,139519,26643,76.85,,,177.0,10608.0
2020-05-13,20925.0,2380.0,58414.0,17025.0,140227,26991,76.85,839.0,37018.0,148.0,9951.0
2020-05-14,20322.0,2252.0,59338.0,17148.0,140734,27074,76.85,938.0,40015.0,151.0,9599.0
2020-05-15,19721.0,2159.0,60180.0,17267.0,141356,27425,76.85,964.0,45006.0,151.0,10167.0
2020-05-16,19294.0,2088.0,60795.0,17337.0,141919,27555,76.85,273.0,15456.0,23.0,2018.0
2020-05-17,19225.0,2044.0,60942.0,17391.0,142291,27643,76.85,134.0,5974.0,4.0,303.0
2020-05-18,18877.0,1955.0,61455.0,17513.0,142411,27711,76.85,1058.0,47318.0,162.0,10974.0
2020-05-19,18331.0,1852.0,62288.0,17637.0,142903,27897,76.85,984.0,49175.0,121.0,10643.0
2020-05-20,17811.0,1751.0,63076.0,17732.0,143427,28022,76.85,993.0,48944.0,113.0,9721.0
2020-05-21,17458.0,1705.0,63577.0,17789.0,143845,28132,76.85,173.0,8667.0,1.0,269.0
2020-05-22,17259.0,1661.0,63926.0,17864.0,144163,28215,76.85,736.0,45634.0,79.0,8975.0
2020-05-23,17053.0,1625.0,64263.0,17906.0,144566,28289,76.85,227.0,17308.0,8.0,1658.0
2020-05-24,17061.0,1615.0,64333.0,17940.0,144806,28332,76.85,100.0,6082.0,5.0,181.0
2020-05-25,16672.0,1568.0,64911.0,18030.0,144921,28367,65.74,658.0,45915.0,94.0,8560.0
2020-05-26,16138.0,1514.0,65587.0,18112.0,145279,28432,,715.0,48092.0,43.0,7433.0
2020-05-27,15559.0,1462.0,66291.0,18176.0,145555,28530,,676.0,40546.0,,
2020-05-28,15090.0,1390.0,66893.0,18241.0,145746,28596,,586.0,39013.0,,
2020-05-29,14580.0,1324.0,67501.0,18301.0,149071,28662,,549.0,43430.0,,
2020-05-30,14265.0,1288.0,67964.0,18358.0,149668,28714,,329.0,18184.0,,
2020-05-31,14206.0,1282.0,68051.0,18389.0,151496,28771,,152.0,7289.0,,
2020-06-01,14172.0,1265.0,68136.0,18420.0,151753,28802,,148.0,8489.0,,
2020-06-02,13912.0,1217.0,68506.0,18504.0,152091,28833,,690.0,42168.0,,
2020-06-03,13396.0,1175.0,69149.0,18585.0,151325,28940,,609.0,38764.0,,
2020-06-04,12985.0,1130.0,69665.0,18629.0,151677,29021,,517.0,35381.0,,
2020-06-05,12571.0,1060.0,70192.0,18674.0,152444,29065,,,,,
2020-06-06,12355.0,1026.0,70493.0,18705.0,153055,29111,,,,,
2020-06-07,12338.0,1020.0,70529.0,18718.0,153634,29142,,,,,
2020-06-08,12192.0,991.0,70747.0,18772.0,153977,29155,,,,,
