date,D_total
2020-03-01,1781.0
2020-03-02,3565.0
2020-03-03,5334.0
2020-03-04,7147.0
2020-03-05,8927.0
2020-03-06,10771.0
2020-03-07,12462.0
2020-03-08,14174.0
2020-03-09,15997.0
2020-03-10,17830.0
2020-03-11,19735.0
2020-03-12,21537.0
2020-03-13,23323.0
2020-03-14,25107.0
2020-03-15,26963.0
2020-03-16,28961.0
2020-03-17,31011.0
2020-03-18,33020.0
2020-03-19,35143.0
2020-03-20,37192.0
2020-03-21,39131.0
2020-03-22,41144.0
2020-03-23,43312.0
2020-03-24,45487.0
2020-03-25,47829.0
2020-03-26,50216.0
2020-03-27,52642.0
2020-03-28,55168.0
2020-03-29,57558.0
2020-03-30,60243.0
2020-03-31,62993.0
2020-04-01,65799.0
2020-04-02,68453.0
2020-04-03,71222.0
2020-04-04,73920.0
2020-04-05,76607.0
2020-04-06,79321.0
2020-04-07,81978.0
2020-04-08,84576.0
2020-04-09,87090.0
2020-04-10,89677.0
2020-04-11,92115.0
2020-04-12,94378.0
2020-04-13,96753.0
2020-04-14,99094.0
2020-04-15,101347.0
2020-04-16,103533.0
2020-04-17,105847.0
2020-04-18,107991.0
2020-04-19,110007.0
2020-04-20,111907.0
2020-04-21,113821.0
2020-04-22,115720.0
2020-04-23,117609.0
2020-04-24,119472.0
2020-04-25,121300.0
2020-04-26,123016.0
2020-04-27,124698.0
2020-04-28,126449.0
2020-04-29,128145.0
2020-04-30,129773.0
2020-05-01,131307.0
2020-05-02,132926.0
2020-05-03,134503.0
2020-05-04,136193.0
2020-05-05,137841.0
2020-05-06,139457.0
2020-05-07,141053.0
2020-05-08,142655.0
2020-05-09,144188.0
2020-05-10,145756.0
2020-05-11,147278.0
2020-05-12,148834.0
2020-05-13,150424.0
2020-05-14,151961.0
2020-05-15,153599.0
2020-05-16,155177.0
2020-05-17,156689.0
2020-05-18,158303.0
2020-05-19,159994.0
2020-05-20,161677.0
2020-05-21,163400.0
2020-05-22,165075.0
2020-05-23,166638.0
2020-05-24,167998.0
2020-05-25,169514.0
2020-05-26,171076.0
2020-05-27,172576.0
2020-05-28,174155.0
2020-05-29,175666.0
2020-05-30,177139.0
2020-05-31,178587.0
2020-06-01,180094.0
2020-06-02,181672.0
2020-06-03,183184.0
2020-06-04,184761.0
2020-06-05,186192.0
2020-06-06,187730.0
2020-06-07,189088.0
2020-06-08,190514.0
2020-06-09,192054.0
2020-06-10,193535.0
2020-06-11,195093.0
2020-06-12,196608.0
2020-06-13,198118.0
2020-06-14,199573.0
2020-06-15,201080.0
2020-06-16,202609.0
2020-06-17,204059.0
2020-06-18,205560.0
2020-06-19,207005.0
2020-06-20,208473.0
2020-06-21,209976.0
2020-06-22,211537.0
2020-06-23,213138.0
2020-06-24,214645.0
2020-06-25,216219.0
2020-06-26,217777.0
2020-06-27,219161.0
2020-06-28,220413.0
2020-06-29,221625.0
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
