"Date_evenement";"Zone";"Communes_a_envoi_dematerialise_Deces2020";"Total_deces_2020";"Communes_a_envoi_dematerialise_Deces2019";"Total_deces_2019";"Communes_a_envoi_dematerialise_Deces2018";"Total_deces_2018"
"01-mars";"France";1627;1781;1708;1872;1927;2136
"02-mars";"France";3266;3565;3467;3782;3932;4327
"03-mars";"France";4900;5334;5035;5530;5880;6455
"04-mars";"France";6585;7147;6747;7410;7767;8545
"05-mars";"France";8215;8927;8455;9278;9769;10746
"06-mars";"France";9916;10771;10178;11148;11731;12904
"07-mars";"France";11460;12462;11856;13007;13615;14959
"08-mars";"France";13032;14174;13512;14808;15542;17066
"09-mars";"France";14706;15997;15130;16581;17429;19115
"10-mars";"France";16364;17830;16652;18249;19324;21201
"11-mars";"France";18121;19735;18275;20015;21082;23143
"12-mars";"France";19768;21537;19862;21721;22937;25190
"13-mars";"France";21419;23323;21391;23412;24732;27170
"14-mars";"France";23054;25107;22949;25130;26482;29097
"15-mars";"France";24744;26963;24539;26876;28212;30995
"16-mars";"France";26566;28961;26099;28596;29959;32902
"17-mars";"France";28460;31011;27582;30231;31629;34742
"18-mars";"France";30297;33020;29194;31988;33234;36533
"19-mars";"France";32251;35143;30725;33672;34893;38356
"20-mars";"France";34146;37192;32228;35333;36527;40148
"21-mars";"France";35944;39131;33785;37034;38267;42050
"22-mars";"France";37795;41144;35334;38722;40019;43942
"23-mars";"France";39784;43312;36898;40420;41677;45768
"24-mars";"France";41819;45487;38401;42048;43385;47653
"25-mars";"France";43975;47829;39925;43713;45035;49470
"26-mars";"France";46199;50216;41417;45338;46727;51323
"27-mars";"France";48441;52642;42962;47024;48439;53184
"28-mars";"France";50752;55168;44510;48714;50089;55011
"29-mars";"France";52955;57558;46009;50378;51726;56838
"30-mars";"France";55440;60243;47484;52015;53363;58643
"31-mars";"France";57972;62993;48937;53633;54963;60409
"01-avr.";"France";60549;65799;50489;55322;56557;62191
"02-avr.";"France";62987;68453;52045;57023;58111;63906
"03-avr.";"France";65530;71222;53599;58709;59776;65757
"04-avr.";"France";68021;73920;55137;60377;61391;67512
"05-avr.";"France";70469;76607;56653;62040;63001;69274
"06-avr.";"France";72952;79321;58140;63689;64588;71005
"07-avr.";"France";75379;81978;59678;65364;66174;72745
"08-avr.";"France";77765;84576;61200;67028;67725;74461
"09-avr.";"France";80084;87090;62683;68650;69331;76196
"10-avr.";"France";82452;89677;64212;70317;70994;78000
"11-avr.";"France";84693;92115;65664;71924;72555;79706
"12-avr.";"France";86772;94378;67143;73547;74132;81440
"13-avr.";"France";88944;96753;68582;75103;75650;83110
"14-avr.";"France";91074;99094;69963;76622;77118;84726
"15-avr.";"France";93155;101347;71455;78245;78626;86393
"16-avr.";"France";95146;103533;72994;79912;80172;88085
"17-avr.";"France";97277;105847;74580;81639;81656;89727
"18-avr.";"France";99242;107991;76077;83253;83150;91375
"19-avr.";"France";101080;110007;77588;84932;84742;93121
"20-avr.";"France";102822;111907;79115;86609;86347;94883
"21-avr.";"France";104578;113821;80548;88174;87927;96638
"22-avr.";"France";106300;115720;82070;89833;89359;98216
"23-avr.";"France";108017;117609;83614;91518;90819;99817
"24-avr.";"France";109706;119472;85225;93261;92284;101421
"25-avr.";"France";111359;121300;86720;94905;93726;102998
"26-avr.";"France";112911;123016;88208;96525;95149;104555
"27-avr.";"France";114439;124698;89631;98087;96582;106124
"28-avr.";"France";116037;126449;91071;99676;98025;107707
"29-avr.";"France";117582;128145;92491;101230;99468;109281
"30-avr.";"France";119070;129773;93919;102788;100882;110843
"01-mai";"France";120463;131307;95435;104447;102235;112327
"02-mai";"France";121937;132926;96942;106089;103677;113909
"03-mai";"France";123375;134503;98383;107681;105015;115379
"04-mai";"France";124909;136193;99835;109268;106525;117020
"05-mai";"France";126400;137841;101224;110777;107990;118623
"06-mai";"France";127875;139457;102756;112460;109420;120202
"07-mai";"France";129333;141053;104243;114098;110889;121791
"08-mai";"France";130784;142655;105721;115695;112302;123343
"09-mai";"France";132171;144188;107185;117288;113719;124873
"10-mai";"France";133570;145756;108693;118956;115040;126308
"11-mai";"France";134968;147278;110077;120479;116485;127879
"12-mai";"France";136357;148834;111526;122047;117854;129391
"13-mai";"France";137804;150424;112943;123584;119137;130785
"14-mai";"France";139185;151961;114409;125190;120479;132260
"15-mai";"France";140676;153599;115889;126808;121835;133747
"16-mai";"France";142103;155177;117346;128421;123244;135287
"17-mai";"France";143461;156689;118836;130049;124677;136838
"18-mai";"France";144914;158303;120347;131680;126114;138413
"19-mai";"France";146464;159994;121775;133250;127488;139932
"20-mai";"France";148004;161677;123272;134895;128876;141465
"21-mai";"France";149562;163400;124719;136478;130290;143018
"22-mai";"France";151095;165075;126152;138034;131685;144557
"23-mai";"France";152524;166638;127663;139692;133171;146165
"24-mai";"France";153748;167998;129192;141340;134642;147754
"25-mai";"France";155124;169514;130582;142847;136059;149318
"26-mai";"France";156559;171076;131918;144310;137511;150920
"27-mai";"France";157922;172576;133327;145854;138951;152490
"28-mai";"France";159363;174155;134750;147388;140410;154092
"29-mai";"France";160758;175666;136125;148881;141855;155665
"30-mai";"France";162088;177139;137456;150333;143272;157217
"31-mai";"France";163394;178587;138880;151889;144634;158702
"01-juin";"France";164737;180094;140335;153463;146002;160178
"02-juin";"France";166155;181672;141757;155018;147413;161715
"03-juin";"France";167528;183184;143235;156626;148787;163235
"04-juin";"France";168979;184761;144665;158196;150158;164740
"05-juin";"France";170282;186192;146050;159707;151489;166180
"06-juin";"France";171676;187730;147434;161203;152831;167656
"07-juin";"France";172889;189088;148784;162685;154164;169124
"08-juin";"France";174196;190514;150133;164168;155592;170692
"09-juin";"France";175597;192054;151453;165615;156945;172165
"10-juin";"France";176963;193535;152785;167075;158272;173610
"11-juin";"France";178385;195093;154151;168572;159638;175114
"12-juin";"France";179754;196608;155504;170056;161030;176631
"13-juin";"France";181126;198118;156955;171610;162331;178050
"14-juin";"France";182445;199573;158326;173109;163646;179484
"15-juin";"France";183831;201080;159770;174675;165013;180975
"16-juin";"France";185225;202609;161170;176192;166350;182429
"17-juin";"France";186545;204059;162640;177811;167657;183863
"18-juin";"France";187902;205560;164080;179362;168956;185305
"19-juin";"France";189225;207005;165561;180973;170343;186830
"20-juin";"France";190567;208473;166989;182520;171757;188387
"21-juin";"France";191944;209976;168354;183997;173163;189942
"22-juin";"France";193389;211537;169685;185459;174543;191448
"23-juin";"France";194876;213138;171050;186955;175824;192852
"24-juin";"France";196272;214645;172476;188526;177146;194322
"25-juin";"France";197762;216219;173929;190100;178507;195802
"26-juin";"France";199268;217777;175419;191734;179966;197390
"27-juin";"France";200599;219161;176902;193371;181445;198997
"28-juin";"France";201810;220413;178425;195038;182919;200614
"29-juin";"France";202996;221625;179917;196669;184363;202196
"30-juin";"France";204220;NA;181468;198364;185768;203754
"01-juil.";"France";205449;NA;182982;200017;187323;205469
"02-juil.";"France";206675;NA;184367;201541;188815;207115
"03-juil.";"France";207742;NA;185773;203078;190346;208793
"04-juil.";"France";NA;NA;187159;204616;191802;210392
"05-juil.";"France";NA;NA;188588;206186;193245;211965
"06-juil.";"France";NA;NA;190088;207829;194616;213474
"07-juil.";"France";NA;NA;191499;209365;195999;214994
"08-juil.";"France";NA;NA;192831;210812;197364;216482
"09-juil.";"France";NA;NA;194217;212326;198774;218032
"10-juil.";"France";NA;NA;195553;213777;200183;219583
"11-juil.";"France";NA;NA;197049;215393;201508;221034
"12-juil.";"France";NA;NA;198473;216963;202871;222506
"13-juil.";"France";NA;NA;199870;218492;204246;224018
"14-juil.";"France";NA;NA;201175;219925;205598;225509
"15-juil.";"France";NA;NA;202466;221337;206948;227000
"16-juil.";"France";NA;NA;203810;222811;208397;228600
"17-juil.";"France";NA;NA;205221;224346;209798;230144
"18-juil.";"France";NA;NA;206617;225895;211217;231692
"19-juil.";"France";NA;NA;208069;227469;212692;233297
"20-juil.";"France";NA;NA;209553;229084;214086;234817
"21-juil.";"France";NA;NA;210869;230534;215455;236318
"22-juil.";"France";NA;NA;212274;232100;216758;237746
"23-juil.";"France";NA;NA;213759;233718;218173;239286
"24-juil.";"France";NA;NA;215305;235420;219601;240863
"25-juil.";"France";NA;NA;217000;237281;221134;242543
"26-juil.";"France";NA;NA;218676;239149;222612;244146
"27-juil.";"France";NA;NA;220102;240693;224180;245849
"28-juil.";"France";NA;NA;221463;242168;225642;247444
"29-juil.";"France";NA;NA;222796;243620;227010;248946
"30-juil.";"France";NA;NA;224152;245087;228470;250546
"31-juil.";"France";NA;NA;225452;246502;229880;252106
"01-mars";"Dept_01";11;15;12;15;10;13
"02-mars";"Dept_01";18;23;26;34;25;29
"03-mars";"Dept_01";30;37;37;46;38;48
"04-mars";"Dept_01";38;47;46;56;51;62
"05-mars";"Dept_01";51;62;58;72;69;83
"06-mars";"Dept_01";64;76;64;82;82;97
"07-mars";"Dept_01";77;93;72;91;98;115
"08-mars";"Dept_01";88;104;82;103;109;128
"09-mars";"Dept_01";100;116;89;112;118;141
"10-mars";"Dept_01";113;131;101;124;129;155
"11-mars";"Dept_01";124;143;114;139;134;161
"12-mars";"Dept_01";130;151;118;144;149;178
"13-mars";"Dept_01";146;169;127;155;161;192
"14-mars";"Dept_01";158;182;142;171;170;203
"15-mars";"Dept_01";176;202;153;183;182;216
"16-mars";"Dept_01";184;211;164;195;190;225
"17-mars";"Dept_01";202;229;175;207;201;237
"18-mars";"Dept_01";216;247;182;217;212;255
"19-mars";"Dept_01";233;266;188;228;225;272
"20-mars";"Dept_01";239;274;199;241;236;283
"21-mars";"Dept_01";251;293;209;252;252;303
"22-mars";"Dept_01";260;302;217;264;259;313
"23-mars";"Dept_01";270;316;230;278;276;331
"24-mars";"Dept_01";279;329;244;293;289;345
"25-mars";"Dept_01";288;342;255;306;298;356
"26-mars";"Dept_01";302;359;266;319;308;366
"27-mars";"Dept_01";311;377;275;331;321;382
"28-mars";"Dept_01";321;390;289;352;330;394
"29-mars";"Dept_01";331;408;299;363;344;412
"30-mars";"Dept_01";346;430;313;380;361;429
"31-mars";"Dept_01";364;453;318;388;373;443
"01-avr.";"Dept_01";375;471;329;400;382;455
"02-avr.";"Dept_01";385;488;341;414;398;471
"03-avr.";"Dept_01";401;507;352;427;407;481
"04-avr.";"Dept_01";416;526;367;445;416;490
"05-avr.";"Dept_01";427;541;375;454;423;499
"06-avr.";"Dept_01";440;560;389;470;437;515
"07-avr.";"Dept_01";466;589;402;485;456;534
"08-avr.";"Dept_01";482;607;406;492;469;548
"09-avr.";"Dept_01";499;633;418;504;481;561
"10-avr.";"Dept_01";505;641;428;517;490;575
"11-avr.";"Dept_01";514;652;431;522;500;588
"12-avr.";"Dept_01";526;667;442;533;506;595
"13-avr.";"Dept_01";542;686;448;540;514;606
"14-avr.";"Dept_01";552;701;458;551;524;624
"15-avr.";"Dept_01";566;717;465;559;532;634
"16-avr.";"Dept_01";574;730;478;574;543;646
"17-avr.";"Dept_01";581;740;492;588;555;660
"18-avr.";"Dept_01";589;753;497;597;567;672
"19-avr.";"Dept_01";604;773;504;610;581;688
"20-avr.";"Dept_01";619;793;516;626;593;701
"21-avr.";"Dept_01";630;806;529;639;609;719
"22-avr.";"Dept_01";640;819;541;652;622;733
"23-avr.";"Dept_01";650;832;554;666;630;742
"24-avr.";"Dept_01";665;848;561;676;639;753
"25-avr.";"Dept_01";676;862;573;688;651;767
"26-avr.";"Dept_01";686;875;585;702;656;773
"27-avr.";"Dept_01";699;890;595;715;664;782
"28-avr.";"Dept_01";717;909;606;726;671;792
"29-avr.";"Dept_01";724;917;614;735;677;799
"30-avr.";"Dept_01";739;934;622;745;684;810
"01-mai";"Dept_01";744;941;633;757;689;817
"02-mai";"Dept_01";753;958;640;764;694;823
"03-mai";"Dept_01";763;968;651;777;704;835
"04-mai";"Dept_01";769;976;661;788;714;848
"05-mai";"Dept_01";776;983;670;799;722;857
"06-mai";"Dept_01";791;998;681;813;734;871
"07-mai";"Dept_01";799;1009;697;829;743;882
"08-mai";"Dept_01";810;1022;706;839;753;893
"09-mai";"Dept_01";812;1025;715;850;764;905
"10-mai";"Dept_01";822;1035;722;860;770;911
"11-mai";"Dept_01";830;1049;732;873;780;925
"12-mai";"Dept_01";837;1061;748;889;789;934
"13-mai";"Dept_01";845;1072;755;898;798;945
"14-mai";"Dept_01";856;1084;765;911;807;955
